player,team,entry,seed,region,injury_status,in_tournament_injury,proj_rank,proj_ppg,proj_games,proj_total,actual_pts,actual_games,residual,pct_error,matched
Tavari Johnson,Akron,Grace & Pat,12,Midwest,HEALTHY,,130,18.9,1.29,24.4,4,1,-20.4,-83.6,1
Amani Lyles,Akron,John & Claire,12,Midwest,HEALTHY,,201,14.0,1.29,18.1,26,1,7.9,43.6,1
Labaron Philon Jr.,Alabama,Lucas,4,Midwest,PROBABLE,,25,21.5,2.54,54.7,73,3,18.3,33.4,1
Latrell Wrightsell,Alabama,Lucas,4,Midwest,HEALTHY,,77,13.3,2.54,33.8,50,3,16.2,47.7,1
Aiden Sherrell,Alabama,Schlossbergs,4,Midwest,HEALTHY,,105,11.1,2.54,28.2,35,3,6.8,23.9,1
Amari Allen,Alabama,Spike,4,Midwest,HEALTHY,,98,11.7,2.54,29.8,27,3,-2.8,-9.3,1
Koa Peat,Arizona,Matt D.,1,West,HEALTHY,,12,13.4,4.44,59.5,86,5,26.5,44.4,1
Brayden Burries,Arizona,Merbers,1,West,HEALTHY,,2,16.5,4.44,73.3,84,5,10.7,14.6,1
Ivan Kharchenkov,Arizona,Merbers,1,West,HEALTHY,,35,10.1,4.44,44.9,62,5,17.1,38.2,1
Motiejus Krivas,Arizona,Schlossbergs,1,West,HEALTHY,,32,10.5,4.44,46.7,51,5,4.3,9.3,1
Tobe Awaka,Arizona,Terry,1,West,HEALTHY,,48,9.4,4.44,41.8,41,5,-0.8,-1.8,1
Anthony Dell'Orso,Arizona,Zach,1,West,HEALTHY,,54,9.0,4.44,40.0,25,5,-15.0,-37.5,1
Jaden Bradley,Arizona,Zach,1,West,HEALTHY,,17,12.2,4.44,54.2,66,5,11.8,21.8,1
Darius Acuff Jr.,Arkansas,Bruce & Ryan,4,West,RETURNING,,13,24.6,2.67,65.6,88,3,22.4,34.1,1
Trevon Brazile,Arkansas,Lucas,4,West,HEALTHY,,56,15.0,2.67,40.0,34,3,-6.0,-15.0,1
D.J. Wagner,Arkansas,Michael D.,4,West,HEALTHY,,168,7.6,2.67,20.3,16,3,-4.3,-21.1,1
Meleek Thomas,Arkansas,Michael D.,4,West,HEALTHY,,43,16.2,2.67,43.2,57,3,13.8,31.9,1
Malique Ewin,Arkansas,Schlossbergs,4,West,HEALTHY,,119,9.6,2.67,25.6,38,3,12.4,48.4,1
Billy Richmond III,Arkansas,Zach,4,West,HEALTHY,,95,11.0,2.67,29.3,38,3,8.7,29.5,1
AJ Dybantsa,BYU,Bruce & Ryan,6,West,HEALTHY,,29,26.1,1.86,48.6,35,1,-13.6,-28.0,1
Robert Wright III,BYU,John & Claire,6,West,HEALTHY,,72,18.0,1.86,33.5,14,1,-19.5,-58.2,1
Kennard Davis Jr.,BYU,Terry,6,West,HEALTHY,,234,8.5,1.86,15.8,9,1,-6.8,-43.2,1
Dominique Daniels Jr.,Cal Baptist,Grace & Pat,13,East,HEALTHY,,106,25.2,1.12,28.2,25,1,-3.2,-11.5,1
RJ Godfrey,Clemson,Elizabeth,8,South,HEALTHY,,208,11.9,1.48,17.6,15,1,-2.6,-15.0,1
Patrick Ngongba II,Duke,Alana & Gary,1,East,DAY-TO-DAY,,150,10.7,4.49,48.1,13,4,-35.1,-73.0,1
Nikolas Khamenia,Duke,Bruce & Ryan,1,East,HEALTHY,,114,5.8,4.49,26.1,20,4,-6.1,-23.3,1
Cayden Boozer,Duke,Elizabeth,1,East,HEALTHY,,80,7.1,4.49,31.9,50,4,18.1,56.7,1
Cameron Boozer,Duke,Lucas,1,East,HEALTHY,,1,22.5,4.49,101.1,90,4,-11.1,-11.0,1
Isaiah Evans,Duke,Rich,1,East,HEALTHY,,3,15.4,4.49,69.2,65,4,-4.2,-6.1,1
Dame Sarr,Duke,Terry,1,East,HEALTHY,,99,6.3,4.49,28.3,31,4,2.7,9.5,1
Maliq Brown,Duke,Terry,1,East,HEALTHY,,156,4.8,4.49,21.6,24,4,2.4,11.3,1
Isaiah Brown,Florida,Bruce & Ryan,1,South,HEALTHY,,161,5.5,3.85,21.2,10,2,-11.2,-52.7,1
Alex Condon,Florida,Griffin,1,South,HEALTHY,,8,16.4,3.85,63.1,34,2,-29.1,-46.1,1
Xaivian Lee,Florida,Griffin,1,South,HEALTHY,,39,11.5,3.85,44.2,27,2,-17.2,-39.0,1
Urban Klavzar,Florida,Merbers,1,South,HEALTHY,,59,9.7,3.85,37.3,16,2,-21.3,-57.1,1
Boogie Fland,Florida,Spike,1,South,HEALTHY,,38,11.6,3.85,44.6,23,2,-21.6,-48.5,1
Rueben Chinyelu,Florida,Spike,1,South,HEALTHY,,45,11.2,3.85,43.1,14,2,-29.1,-67.5,1
Thomas Haugh,Florida,Terry,1,South,HEALTHY,,6,16.6,3.85,63.9,33,2,-30.9,-48.3,1
Alex Wilkins,Furman,Grace & Pat,15,East,HEALTHY,,209,17.6,1.03,18.2,21,1,2.8,15.4,1
Kanon Catchings,Georgia,Lucas,8,Midwest,HEALTHY,,134,14.6,1.68,24.5,0,1,-24.5,-100.0,1
Jeremiah Wilkinson,Georgia,Merbers,8,Midwest,HEALTHY,,111,16.4,1.68,27.5,30,1,2.5,9.2,1
Jalen Warley,Gonzaga,Alana & Gary,3,West,RETURNING,,176,6.8,3.05,20.7,22,2,1.3,6.2,1
Mario Saint-Supery,Gonzaga,Alana & Gary,3,West,HEALTHY,,104,8.6,3.05,26.2,16,2,-10.2,-38.9,1
Davis Fogle,Gonzaga,Griffin,3,West,HEALTHY,,112,8.4,3.05,25.6,23,2,-2.6,-10.1,1
Tyon Grant-Foster,Gonzaga,Matt D.,3,West,HEALTHY,,67,11.2,3.05,34.1,16,2,-18.1,-53.1,1
Emmanuel Innocenti,Gonzaga,Merbers,3,West,HEALTHY,,191,5.8,3.05,17.7,16,2,-1.7,-9.5,1
Graham Ike,Gonzaga,Spike,3,West,HEALTHY,,10,19.4,3.05,59.1,44,2,-15.1,-25.6,1
Adam Miller,Gonzaga,Zach,3,West,HEALTHY,,129,7.6,3.05,23.2,4,2,-19.2,-82.7,1
Terry Anderson,High Point,Bruce & Ryan,12,West,HEALTHY,,166,17.0,1.18,20.0,30,2,10.0,49.8,1
Rob Martin,High Point,Zach,12,West,HEALTHY,,185,15.7,1.18,18.5,53,2,34.5,186.6,1
Cruz Davis,Hofstra,Spike,13,Midwest,HEALTHY,,137,18.2,1.19,21.6,14,1,-7.6,-35.2,1
Preston Edmead,Hofstra,Zach,13,Midwest,HEALTHY,,147,17.1,1.19,20.3,24,1,3.7,18.2,1
Milos Uzan,Houston,Bruce & Ryan,2,South,HEALTHY,,49,11.1,3.62,40.2,33,3,-7.2,-18.0,1
Chris Cenac Jr.,Houston,Elizabeth,2,South,HEALTHY,,66,9.5,3.62,34.4,30,3,-4.4,-12.9,1
Kingston Flemings,Houston,Michael D.,2,South,HEALTHY,,11,16.2,3.62,58.7,38,3,-20.7,-35.3,1
Emanuel Sharp,Houston,Schlossbergs,2,South,HEALTHY,,19,14.1,3.62,51.1,51,3,-0.1,-0.2,1
Joseph Tugler,Houston,Terry,2,South,HEALTHY,,83,8.4,3.62,30.4,25,3,-5.4,-17.9,1
Mercy Miller,Houston,Terry,2,South,HEALTHY,,199,4.8,3.62,17.4,22,3,4.6,26.4,1
Bryce Harris,Howard,Merbers,16,Midwest,HEALTHY,,238,17.1,1.01,17.3,21,1,3.7,21.5,1
Kristian Gonzalez,Idaho,John & Claire,15,South,HEALTHY,,225,18.0,1.03,18.5,0,1,-18.5,-100.0,1
Andrej Stojakovic,Illinois,Alana & Gary,3,South,HEALTHY,,37,12.4,3.54,43.9,69,5,25.1,57.3,1
David Mirkovic,Illinois,Alana & Gary,3,South,HEALTHY,,26,14.0,3.54,49.5,65,5,15.5,31.2,1
Ben Humrichous,Illinois,Grace & Pat,3,South,HEALTHY,,155,6.1,3.54,21.6,21,5,-0.6,-2.7,1
Keaton Wagler,Illinois,Grace & Pat,3,South,HEALTHY,,7,17.4,3.54,61.6,90,5,28.4,46.2,1
Kylan Boswell,Illinois,Grace & Pat,3,South,HEALTHY,,42,12.0,3.54,42.5,39,5,-3.5,-8.2,1
Zvonimir Ivisic,Illinois,Grace & Pat,3,South,HEALTHY,,122,7.0,3.54,24.8,14,5,-10.8,-43.5,1
Jake Davis,Illinois,Spike,3,South,HEALTHY,,162,5.8,3.54,20.5,11,5,-9.5,-46.4,1
Tomislav Ivisic,Illinois,Terry,3,South,HEALTHY,,63,10.0,3.54,35.4,64,5,28.6,80.9,1
Bennett Stirtz,Iowa,John & Claire,9,South,HEALTHY,,74,18.6,1.8,33.5,73,4,39.5,117.8,1
Tavion Banks,Iowa,Rich,9,South,HEALTHY,,187,10.5,1.8,18.9,33,4,14.1,74.4,1
Milan Momcilovic,Iowa St.,John & Claire,2,Midwest,HEALTHY,,9,16.3,3.67,59.8,43,3,-16.8,-28.1,1
Tamin Lipsey,Iowa St.,Matt D.,2,Midwest,HEALTHY,,22,13.7,3.67,50.3,47,3,-3.3,-6.5,1
Blake Buchanan,Iowa St.,Michael D.,2,Midwest,HEALTHY,,82,8.4,3.67,30.8,28,3,-2.8,-9.2,1
Joshua Jefferson,Iowa St.,Michael D.,2,Midwest,HEALTHY,Injured during R64; missed remainder,4,17.1,3.67,62.7,2,3,-60.7,-96.8,1
Jamarion Batemon,Iowa St.,Terry,2,Midwest,HEALTHY,,115,6.9,3.67,25.3,13,3,-12.3,-48.7,1
Killyan Toure,Iowa St.,John & Claire,2,Midwest,HEALTHY,,88,8.1,3.67,29.7,44,3,14.3,48.0,1
Bryson Tiller,Kansas,Matt D.,4,East,HEALTHY,,169,8.2,2.52,20.6,6,2,-14.6,-70.9,1
Darryn Peterson,Kansas,Matt D.,4,East,HEALTHY,,27,20.2,2.52,50.8,49,2,-1.8,-3.6,1
Flory Bidunga,Kansas,Michael D.,4,East,HEALTHY,,94,11.9,2.52,29.9,18,2,-11.9,-39.9,1
Melvin Council Jr.,Kansas,Michael D.,4,East,HEALTHY,,100,11.6,2.52,29.2,19,2,-10.2,-34.9,1
Tre White,Kansas,Schlossbergs,4,East,HEALTHY,,75,13.5,2.52,34.0,16,2,-18.0,-52.9,1
RJ Johnson,Kennesaw St.,Grace & Pat,,,,,,,,,15,1,,,0
Denzel Aberdeen,Kentucky,Bruce & Ryan,7,Midwest,HEALTHY,,133,13.8,1.73,23.9,36,2,12.1,50.5,1
Otega Oweh,Kentucky,Elizabeth,7,Midwest,HEALTHY,,71,19.4,1.73,33.6,53,2,19.4,57.6,1
Collin Chandler,Kentucky,Schlossbergs,7,Midwest,HEALTHY,,210,9.9,1.73,17.2,11,2,-6.2,-35.9,1
J'Vonne Hadley,Louisville,Alana & Gary,6,East,HEALTHY,,121,11.8,2.19,25.8,12,2,-13.8,-53.5,1
Sananda Fru,Louisville,Elizabeth,6,East,HEALTHY,,174,9.2,2.19,20.1,12,2,-8.1,-40.4,1
Adrian Wooley,Louisville,Griffin,6,East,HEALTHY,,194,8.5,2.19,18.6,21,2,2.4,13.0,1
Isaac McKneely,Louisville,Griffin,6,East,HEALTHY,,144,10.6,2.19,23.2,32,2,8.8,38.0,1
Ryan Conwell,Louisville,Rich,6,East,HEALTHY,,51,19.2,2.19,42.0,39,2,-3.0,-7.1,1
Larry Johnson,McNeese,Alana & Gary,12,South,HEALTHY,,142,19.1,1.19,22.7,15,1,-7.7,-33.9,1
Malik Reneau,Miami FL,Bruce & Ryan,7,West,HEALTHY,,78,17.0,1.88,31.9,40,2,8.1,25.3,1
Tru Washington,Miami FL,Matt D.,7,West,HEALTHY,,125,12.9,1.88,24.2,20,2,-4.2,-17.4,1
Shelton Henderson,Miami FL,Michael D.,7,West,HEALTHY,,138,12.3,1.88,23.1,33,2,9.9,42.9,1
Tre Donaldson,Miami FL,Zach,7,West,HEALTHY,,87,16.2,1.88,30.4,30,2,-0.4,-1.4,1
Eian Elmer,Miami OH,Grace & Pat,11,Midwest,HEALTHY,,292,12.6,1.15,14.5,4,1,-10.5,-72.4,1
Brant Byers,Miami OH,Matt D.,11,Midwest,HEALTHY,,255,14.2,1.15,16.3,9,1,-7.3,-44.8,1
Peter Suder,Miami OH,Merbers,11,Midwest,HEALTHY,,245,14.6,1.15,16.8,27,1,10.2,60.9,1
Yaxel Lendeborg,Michigan,Alana & Gary,1,Midwest,PROBABLE,,5,15.2,4.42,67.1,108,6,40.9,60.9,1
Nimari Burnett,Michigan,Lucas,1,Midwest,HEALTHY,,60,8.3,4.42,36.7,48,6,11.3,30.9,1
Trey McKenney,Michigan,Matt D.,1,Midwest,HEALTHY,,47,9.6,4.42,42.4,72,6,29.6,69.8,1
Elliot Cadeau,Michigan,Merbers,1,Midwest,HEALTHY,,36,10.2,4.42,45.1,74,6,28.9,64.3,1
Roddy Gayle Jr.,Michigan,Rich,1,Midwest,HEALTHY,,86,7.0,4.42,30.9,54,6,23.1,74.7,1
Morez Johnson Jr.,Michigan,Schlossbergs,1,Midwest,HEALTHY,,16,12.4,4.42,54.8,77,6,22.2,40.6,1
Aday Mara,Michigan,Zach,1,Midwest,HEALTHY,,24,11.6,4.42,51.2,88,6,36.8,71.8,1
Jaxon Kohler,Michigan St.,Elizabeth,3,East,HEALTHY,,44,13.5,3.09,41.8,34,3,-7.8,-18.6,1
Jeremy Fears Jr.,Michigan St.,John & Claire,3,East,HEALTHY,,18,17.2,3.09,53.2,32,3,-21.2,-39.9,1
Jordan Scott,Michigan St.,John & Claire,3,East,HEALTHY,,188,5.9,3.09,18.3,15,3,-3.3,-17.8,1
Coen Carr,Michigan St.,Merbers,3,East,HEALTHY,,61,11.6,3.09,35.9,51,3,15.1,42.1,1
Kur Teng,Michigan St.,Merbers,3,East,HEALTHY,,127,7.7,3.09,23.8,10,3,-13.8,-58.0,1
Carson Cooper,Michigan St.,Schlossbergs,3,East,HEALTHY,,70,10.8,3.09,33.4,43,3,9.6,28.7,1
Mark Mitchell,Missouri,John & Claire,10,West,HEALTHY,,90,20.7,1.43,29.5,19,1,-10.5,-35.7,1
Jayden Stone,Missouri,Michael D.,10,West,HEALTHY,,248,10.6,1.43,15.1,21,1,5.9,38.9,1
Braden Frager,Nebraska,Bruce & Ryan,4,South,HEALTHY,,81,11.6,2.7,31.3,44,3,12.7,40.7,1
Pryce Sandfort,Nebraska,Bruce & Ryan,4,South,HEALTHY,,28,17.6,2.7,47.4,63,3,15.6,32.8,1
Rienk Mast,Nebraska,Griffin,4,South,HEALTHY,,68,12.9,2.7,34.8,33,3,-1.8,-5.1,1
Jamarques Lawrence,Nebraska,Matt D.,4,South,HEALTHY,,110,9.7,2.7,26.1,31,3,4.9,18.6,1
Sam Hoiberg,Nebraska,Schlossbergs,4,South,HEALTHY,,113,9.6,2.7,25.9,18,3,-7.9,-30.4,1
Henri Veesaar,North Carolina,Alana & Gary,6,South,HEALTHY,,91,17.2,1.72,29.6,26,1,-3.6,-12.2,1
Seth Trimble,North Carolina,Griffin,6,South,HEALTHY,,116,15.0,1.72,25.8,15,1,-10.8,-41.9,1
Luka Bogavac,North Carolina,John & Claire,6,South,HEALTHY,,214,9.8,1.72,16.9,8,1,-8.9,-52.6,1
Jarin Stevenson,North Carolina,Rich,6,South,HEALTHY,,278,8.0,1.72,13.8,11,1,-2.8,-20.1,1
Amare Bynum,Ohio St.,Merbers,8,East,HEALTHY,,222,9.7,1.79,17.4,12,1,-5.4,-30.8,1
Devin Royal,Ohio St.,Spike,8,East,HEALTHY,,152,12.8,1.79,22.9,14,1,-8.9,-38.9,1
Bruce Thornton,Ohio St.,Zach,8,East,HEALTHY,,69,20.7,1.79,37.0,10,1,-27.0,-73.0,1
John Mobley Jr.,Ohio St.,Zach,8,East,HEALTHY,,96,16.9,1.79,30.2,15,1,-15.2,-50.4,1
TJ Power,Penn,Alana & Gary,14,South,HEALTHY,,170,20.0,1.03,20.6,6,1,-14.6,-70.9,1
Dontae Horne,Prairie View A&M,Griffin,16,South,HEALTHY,,186,20.2,1.01,20.3,12,1,-8.3,-41.0,1
Trey Kaufman-Renn,Purdue,Rich,2,West,HEALTHY,,15,14.4,3.61,52.0,74,4,22.0,42.2,1
Braden Smith,Purdue,Grace & Pat,2,West,HEALTHY,,30,12.3,3.61,44.4,67,4,22.6,50.8,1
Oscar Cluff,Purdue,Grace & Pat,2,West,HEALTHY,,52,10.6,3.61,38.3,42,4,3.7,9.7,1
Omer Mayer,Purdue,John & Claire,2,West,HEALTHY,,149,5.7,3.61,20.6,15,4,-5.6,-27.2,1
Fletcher Loyer,Purdue,Lucas,2,West,HEALTHY,,14,15.0,3.61,54.2,64,4,9.8,18.1,1
C.J. Cox,Purdue,Rich,2,West,HEALTHY,,79,8.3,3.61,30.0,39,4,9.0,30.0,1
Daniel Jacobsen,Purdue,Schlossbergs,2,West,HEALTHY,,140,6.0,3.61,21.7,4,4,-17.7,-81.5,1
Robbie Avila,Saint Louis,Terry,9,Midwest,HEALTHY,,159,13.6,1.52,20.7,21,2,0.3,1.4,1
Paulius Murauskas,Saint Mary's,Zach,7,South,HEALTHY,,73,17.9,1.86,33.2,4,1,-29.2,-88.0,1
Elijah Mahi,Santa Clara,Bruce & Ryan,10,Midwest,HEALTHY,,177,12.8,1.58,20.2,20,1,-0.2,-1.1,1
Allen Graves,Santa Clara,Lucas,10,Midwest,HEALTHY,,204,11.6,1.58,18.3,17,1,-1.3,-7.2,1
Christian Hammond,Santa Clara,Rich,10,Midwest,HEALTHY,,151,14.5,1.58,22.9,9,1,-13.9,-60.7,1
Joseph Pinion,South Florida,Elizabeth,11,East,HEALTHY,,195,13.6,1.38,18.8,27,1,8.2,43.8,1
Izaiyah Nelson,South Florida,Terry,11,East,HEALTHY,,183,14.3,1.38,19.7,22,1,2.3,11.4,1
Wes Enis,South Florida,Zach,11,East,HEALTHY,,117,19.4,1.38,26.8,4,1,-22.8,-85.1,1
Dylan Darling,St. John's,Alana & Gary,5,East,HEALTHY,,226,7.0,2.53,17.7,16,3,-1.7,-9.7,1
Ian Jackson,St. John's,Griffin,5,East,HEALTHY,,146,9.6,2.53,24.3,24,3,-0.3,-1.2,1
Joson Sanon,St. John's,Merbers,5,East,HEALTHY,,175,8.3,2.53,21.0,9,3,-12.0,-57.2,1
Dillon Mitchell,St. John's,Michael D.,5,East,HEALTHY,,181,8.2,2.53,20.8,28,3,7.2,34.9,1
Bryce Hopkins,St. John's,Spike,5,East,HEALTHY,,84,13.3,2.53,33.7,46,3,12.3,36.6,1
Oziyah Sellers,St. John's,Spike,5,East,HEALTHY,,120,10.7,2.53,27.1,19,3,-8.1,-29.9,1
Zuby Ejiofor,St. John's,Zach,5,East,HEALTHY,,46,18.0,2.53,45.6,49,3,3.4,7.5,1
Mikey Lewis,Saint Mary's,Matt D.,7,South,HEALTHY,,76,17.6,1.86,32.7,5,1,-27.7,-84.7,1
Joshua Dent,Saint Mary's,Zach,7,South,HEALTHY,,136,12.7,1.86,23.6,18,1,-5.6,-23.7,1
Xavier Edmonds,TCU,Elizabeth,9,East,HEALTHY,,206,12.6,1.41,17.8,28,2,10.2,57.2,1
Jayden Pierre,TCU,Michael D.,9,East,HEALTHY,,266,10.5,1.41,14.8,8,2,-6.8,-46.1,1
David Punch,TCU,Terry,9,East,HEALTHY,,158,15.1,1.41,21.3,20,2,-1.3,-6.3,1
Nate Ament,Tennessee,Alana & Gary,6,Midwest,HEALTHY,,41,16.2,2.57,41.6,41,4,-0.6,-1.4,1
Felix Okpara,Tennessee,Merbers,6,Midwest,HEALTHY,,165,7.7,2.57,19.8,41,4,21.2,107.4,1
J.P. Estrella,Tennessee,Michael D.,6,Midwest,HEALTHY,,109,10.1,2.57,25.9,37,4,11.1,42.7,1
Ja'Kobi Gillespie,Tennessee,Michael D.,6,Midwest,HEALTHY,,31,17.8,2.57,45.7,87,4,41.3,90.4,1
Dailyn Swain,Texas,Lucas,11,West,HEALTHY,,93,17.8,1.6,28.6,40,3,11.4,40.0,1
Matas Vokietaitis,Texas,Lucas,11,West,HEALTHY,,118,15.5,1.6,24.9,49,3,24.1,97.0,1
Tramon Mark,Texas,Lucas,11,West,HEALTHY,,148,13.5,1.6,21.7,54,3,32.3,149.2,1
Rashaun Agee,Texas A&M,Lucas,10,South,HEALTHY,,154,16.2,1.46,23.6,29,2,5.4,22.9,1
Rylan Griffen,Texas A&M,Spike,10,South,HEALTHY,,236,11.6,1.46,16.9,10,2,-6.9,-40.8,1
Donovan Atwell,Texas Tech,Alana & Gary,5,Midwest,HEALTHY,,65,14.6,2.3,33.6,27,2,-6.6,-19.7,1
Jaylen Petty,Texas Tech,Bruce & Ryan,5,Midwest,HEALTHY,,139,9.5,2.3,21.9,33,2,11.1,50.8,1
Christian Anderson,Texas Tech,Griffin,5,Midwest,HEALTHY,,34,18.5,2.3,42.6,25,2,-17.6,-41.4,1
LeJuan Watts,Texas Tech,Griffin,5,Midwest,HEALTHY,,101,11.5,2.3,26.5,30,2,3.5,13.2,1
Riley Kugel,UCF,Elizabeth,10,East,HEALTHY,,163,15.1,1.4,21.1,13,1,-8.1,-38.4,1
Jamichael Stillwell,UCF,Matt D.,10,East,HEALTHY,,231,11.7,1.4,16.4,10,1,-6.4,-38.9,1
Skyy Clark,UCLA,Alana & Gary,7,East,HEALTHY,,126,11.7,2.04,23.8,19,2,-4.8,-20.2,1
Trent Perry,UCLA,Matt D.,7,East,HEALTHY,,97,13.8,2.04,28.1,20,2,-8.1,-28.8,1
Tyler Bilodeau,UCLA,Matt D.,7,East,HEALTHY,,64,17.1,2.04,34.8,0,2,-34.8,-100.0,1
Eric Dailey Jr.,UCLA,Merbers,7,East,HEALTHY,,135,11.3,2.04,23.0,32,2,9.0,39.1,1
Donovan Dent,UCLA,Rich,7,East,HEALTHY,,102,13.4,2.04,27.3,21,2,-6.3,-23.0,1
Silas Demary Jr.,Connecticut,Bruce & Ryan,2,East,PROBABLE,,62,10.9,3.22,35.1,24,6,-11.1,-31.6,1
Alex Karaban,Connecticut,Griffin,2,East,HEALTHY,,55,11.9,3.22,38.3,97,6,58.7,153.2,1
Braylon Mullins,Connecticut,Griffin,2,East,HEALTHY,,57,11.6,3.22,37.3,73,6,35.7,95.5,1
Eric Reibe,Connecticut,Griffin,2,East,HEALTHY,,143,6.8,3.22,21.9,6,6,-15.9,-72.6,1
Solo Ball,Connecticut,Schlossbergs,2,East,HEALTHY,,53,12.2,3.22,39.3,55,6,15.7,40.0,1
Jayden Ross,Connecticut,Terry,2,East,HEALTHY,,237,4.7,3.22,15.1,24,6,8.9,58.6,1
Tarris Reed Jr.,Connecticut,Terry,2,East,HEALTHY,,33,13.5,3.22,43.5,117,6,73.5,169.2,1
Mason Falslev,Utah St.,Elizabeth,9,West,HEALTHY,,108,16.6,1.66,27.5,30,2,2.5,9.0,1
MJ Collins Jr.,Utah St.,Grace & Pat,9,West,HEALTHY,,103,17.2,1.66,28.5,32,2,3.5,12.2,1
AK Okereke,Vanderbilt,Elizabeth,5,South,HEALTHY,,128,9.7,2.6,25.2,16,2,-9.2,-36.6,1
Duke Miles,Vanderbilt,John & Claire,5,South,HEALTHY,,40,17.3,2.6,45.0,22,2,-23.0,-51.1,1
Jalen Washington,Vanderbilt,Rich,5,South,HEALTHY,,145,9.1,2.6,23.7,10,2,-13.7,-57.8,1
Tyler Nickel,Vanderbilt,Rich,5,South,HEALTHY,,89,12.1,2.6,31.5,28,2,-3.5,-11.1,1
Tyler Tanner,Vanderbilt,Rich,5,South,HEALTHY,,23,20.5,2.6,53.3,53,2,-0.3,-0.6,1
Devin McGlockton,Vanderbilt,Schlossbergs,5,South,HEALTHY,,132,9.6,2.6,25.0,15,2,-10.0,-39.9,1
Lazar Djokovic,VCU,Elizabeth,11,South,HEALTHY,,172,12.9,1.53,19.7,17,2,-2.7,-13.8,1
Jadrian Tracey,VCU,Lucas,11,South,HEALTHY,,258,9.9,1.53,15.1,7,2,-8.1,-53.7,1
Terrence Hill Jr.,VCU,Lucas,11,South,HEALTHY,,141,15.1,1.53,23.1,51,2,27.9,120.9,1
Acaden Lewis,Villanova,Bruce & Ryan,8,West,HEALTHY,,198,11.6,1.54,17.8,7,1,-10.8,-60.7,1
Bryce Lindsay,Villanova,Matt D.,8,West,HEALTHY,,192,11.9,1.54,18.3,25,1,6.7,36.8,1
Tyler Perkins,Villanova,Michael D.,8,West,HEALTHY,,160,13.4,1.54,20.6,15,1,-5.6,-27.1,1
Duke Brennan,Villanova,Rich,8,West,HEALTHY,,167,13.0,1.54,20.0,15,1,-5.0,-24.9,1
Malik Thomas,Virginia,Grace & Pat,3,Midwest,HEALTHY,,58,13.5,2.79,37.7,23,2,-14.7,-39.0,1
Sam Lewis,Virginia,Grace & Pat,3,Midwest,HEALTHY,,85,10.8,2.79,30.2,17,2,-13.2,-43.7,1
Chance Mallory,Virginia,Rich,3,Midwest,HEALTHY,,107,9.5,2.79,26.6,12,2,-14.6,-54.8,1
Ugonna Onyenso,Virginia,Schlossbergs,3,Midwest,HEALTHY,,182,6.7,2.79,18.7,6,2,-12.7,-68.0,1
Jacari White,Virginia,Spike,3,Midwest,HEALTHY,,123,8.8,2.79,24.6,36,2,11.4,46.4,1
Johann Grunloh,Virginia,Spike,3,Midwest,HEALTHY,,164,7.2,2.79,20.1,10,2,-10.1,-50.3,1
Thijs De Ridder,Virginia,Spike,3,Midwest,HEALTHY,,50,14.5,2.79,40.5,32,2,-8.5,-21.0,1
John Blackwell,Wisconsin,Elizabeth,5,West,HEALTHY,,21,20.8,2.39,49.8,22,1,-27.8,-55.8,1
Nick Boyd,Wisconsin,Elizabeth,5,West,HEALTHY,,20,21.2,2.39,50.7,27,1,-23.7,-46.8,1
Austin Rapp,Wisconsin,John & Claire,5,West,HEALTHY,,131,9.6,2.39,23.0,12,1,-11.0,-47.7,1
Braeden Carrington,Wisconsin,John & Claire,5,West,HEALTHY,,157,8.4,2.39,20.1,5,1,-15.1,-75.1,1
Andrew Rohde,Wisconsin,Schlossbergs,5,West,HEALTHY,,273,5.7,2.39,13.6,6,1,-7.6,-56.0,1
Nolan Winter,Wisconsin,Spike,5,West,RETURNING,,92,12.4,2.39,29.7,8,1,-21.7,-73.0,1
