rank,player,espn_id,team,seed,region,ppg,expected_games,injury_status,projected_points
391,Hunter Erickson,4701217,Hawaii,13,West,8.5,1.1122712394569803,HEALTHY,9.7
392,Cam Gillus,5176075,Howard,16,Midwest,10.6,1.0107672076181229,HEALTHY,9.7
393,Noah Feddersen,5107278,North Dakota St.,14,East,9.4,1.0724002907644616,HEALTHY,9.6
394,Ose Okojie,5107986,Howard,16,Midwest,10.5,1.0107672076181229,HEALTHY,9.6
395,Isaia Howard,5241366,Iowa,9,South,5.4,1.8016798089121213,HEALTHY,9.5
396,Charles Johnston,5243230,Furman,15,East,9.8,1.0340250474179207,HEALTHY,9.5
397,Redd Thompson Jr.,5101649,LIU,16,West,10.3,1.0087505174256424,HEALTHY,9.5
398,Zach Clemence,4683146,Texas A&M,10,South,7.1,1.4566855454590613,HEALTHY,9.5
399,Thierry Darlan,5147928,Santa Clara,10,Midwest,6.3,1.5799635617998462,HEALTHY,9.5
400,Jake Ensminger,5109789,Santa Clara,10,Midwest,6.3,1.5799635617998462,HEALTHY,9.5
401,Asa Thomas,4895755,Furman,15,East,9.8,1.0340250474179207,HEALTHY,9.5
402,Andy Stefonowicz,5241640,North Dakota St.,14,East,9.2,1.0724002907644616,HEALTHY,9.4
403,Chendall Weaver,5105486,Texas,11,West,5.7,1.6048562965221431,HEALTHY,9.3
404,Kalifa Sakho,5176274,Houston,2,South,2.5,3.6247274327563526,HEALTHY,9.3
405,Ramon Walker Jr.,4708176,Houston,2,South,2.5,3.6247274327563526,HEALTHY,9.3
406,Lance Williams,4904931,Prairie View A&M,16,South,10.1,1.0067552530800046,HEALTHY,9.3
407,Sharron Young,5241470,Akron,12,Midwest,7.3,1.2931262162238186,HEALTHY,9.3
408,Amaree Abram,5105544,Tennessee,6,Midwest,3.5,2.5670186615697825,HEALTHY,9.2
409,Harry Wessels,5105418,Saint Mary's,7,South,4.9,1.857199447542232,HEALTHY,9.1
410,Ruben Prey,5240539,St. John's,5,East,3.9,2.5313694084806024,HEALTHY,9.1
411,Dominic Pangonis,5243109,Wright St.,14,Midwest,9.0,1.0608709591867682,HEALTHY,9.1
412,Cobi Campbell,5240746,Troy,13,South,9.0,1.061365531097464,HEALTHY,9.0
413,Butta Johnson,5107144,Clemson,8,South,6.2,1.4821492990678407,HEALTHY,9.0
414,Tyeree Bryan,5108120,Texas Tech,5,Midwest,3.7,2.304264390636621,HEALTHY,9.0
415,Jasper Johnson,5095153,Kentucky,7,Midwest,5.2,1.7336298535412897,HEALTHY,8.9
416,Jevon Porter,4684798,Missouri,10,West,6.2,1.426436796426509,HEALTHY,8.9
417,Chandler Bing,5311759,Vanderbilt,5,South,3.6,2.6018970544759368,HEALTHY,8.9
418,Emanuel Richards,5175665,LIU,16,West,9.7,1.0087505174256424,HEALTHY,8.9
419,Keitenn Bristow,5241440,Alabama,4,Midwest,3.6,2.544908801467093,HEALTHY,8.8
420,Kellen Pickett,5314627,Wright St.,14,Midwest,8.7,1.0608709591867682,HEALTHY,8.8
421,Tasman Goodrick,5178209,Siena,16,East,9.7,1.0104217789334686,HEALTHY,8.8
422,Chris Johnson,5175069,UCF,10,East,6.4,1.3981367768674555,HEALTHY,8.7
423,Tyrell Ward,4684733,VCU,11,South,5.8,1.528632640283778,HEALTHY,8.7
424,Antoine Lorick III,5242989,Tennessee St.,15,Midwest,9.5,1.0205527912566916,HEALTHY,8.6
425,Doug Young,5177138,Prairie View A&M,16,South,9.3,1.0067552530800046,HEALTHY,8.6
426,Jacari Lane,5107078,Texas A&M,10,South,6.4,1.4566855454590613,HEALTHY,8.6
427,Liam Campbell,5101655,Saint Mary's,7,South,4.6,1.857199447542232,HEALTHY,8.5
428,Jamari McDowell,5103571,Kansas,4,East,3.5,2.5159104208797536,HEALTHY,8.5
429,Timotej Malovec,5281366,Miami FL,7,West,4.5,1.8776178676640867,HEALTHY,8.5
430,Jonathan Powell,5101669,North Carolina,6,South,4.8,1.721717945536111,HEALTHY,8.3
431,AJ Levine,5241732,Penn,14,South,8.3,1.0315226931276236,HEALTHY,8.3
432,Jerrell Bellamy,5176735,Troy,13,South,8.2,1.061365531097464,HEALTHY,8.2
433,Jamar Brown,5177743,UCLA,7,East,3.9,2.0356053518028934,HEALTHY,8.1
434,Joshua DeCady,5239632,Hofstra,13,Midwest,6.3,1.187657446775464,HEALTHY,8.1
435,Braden Hausen,5241592,High Point,12,West,6.8,1.1776837815335008,HEALTHY,8.1
436,Joey Madimba,4705371,Prairie View A&M,16,South,8.7,1.0067552530800046,HEALTHY,8.0
437,Kohl Rosario,5291864,Kansas,4,East,3.3,2.5159104208797536,HEALTHY,8.0
438,Davion Hannah,5101805,Alabama,4,Midwest,3.3,2.544908801467093,HEALTHY,8.0
439,Travelle Bryson,5316220,Howard,16,Midwest,8.8,1.0107672076181229,HEALTHY,8.0
440,Paul Otieno,5107797,Saint Louis,9,Midwest,5.2,1.5222445358331,HEALTHY,7.9
441,Brandon Garrison,4711306,Kentucky,7,Midwest,4.6,1.7336298535412897,HEALTHY,7.9
442,Alex Cotton,5175065,Howard,16,Midwest,8.7,1.0107672076181229,HEALTHY,7.9
443,Jake Wilkins,5142622,Georgia,8,Midwest,4.9,1.675608797331239,HEALTHY,7.9
444,Kareem Stagg,5144153,Georgia,8,Midwest,4.8,1.675608797331239,HEALTHY,7.8
445,Jake Wahlin,5174977,Clemson,8,South,5.4,1.4821492990678407,HEALTHY,7.8
446,Tay Smith,4901166,North Dakota St.,14,East,7.7,1.0724002907644616,HEALTHY,7.8
447,Brendan Coyle,5107811,Siena,16,East,8.6,1.0104217789334686,HEALTHY,7.8
448,Tom House,4896557,Furman,15,East,8.1,1.0340250474179207,HEALTHY,7.8
449,Aleksej Kostic,5311908,BYU,6,West,4.2,1.862898980650907,HEALTHY,7.7
450,Max Weisbrod,5241408,Northern Iowa,12,East,6.5,1.2007746892837103,HEALTHY,7.7
451,Ali Dibba,4896862,Texas A&M,10,South,5.6,1.4566855454590613,HEALTHY,7.5
452,Alphonzo Billups III,5106039,LIU,16,West,8.1,1.0087505174256424,HEALTHY,7.5
453,Maban Jabriel,5240005,Queens,15,West,7.6,1.0248230731436103,HEALTHY,7.5
454,Elijah Perryman,5255260,Utah St.,9,West,4.6,1.6580742799109198,HEALTHY,7.4
455,Devan Cambridge,4567588,UCF,10,East,5.4,1.3981367768674555,HEALTHY,7.3
456,Dylan James,4895794,Georgia,8,Midwest,4.5,1.675608797331239,HEALTHY,7.3
457,Taison Chatman,4685646,Ohio St.,8,East,4.5,1.7889237383557972,PROBABLE,7.3
458,KJ Cochran,5196879,Santa Clara,10,Midwest,4.8,1.5799635617998462,HEALTHY,7.3
459,Chase Johnston,4612709,High Point,12,West,6.1,1.1776837815335008,HEALTHY,7.3
460,Isaiah Kerr,5107841,Hawaii,13,West,6.3,1.1122712394569803,HEALTHY,7.2
461,Brendan Hausen,5105589,Iowa,9,South,4.0,1.8016798089121213,HEALTHY,7.1
462,Kyan Evans,5093253,North Carolina,6,South,4.1,1.721717945536111,HEALTHY,7.1
463,Brody Rowbury,5108917,Idaho,15,South,7.8,1.0268929008951702,HEALTHY,7.1
464,Ahmad Nowell,4869778,VCU,11,South,4.7,1.528632640283778,HEALTHY,7.1
465,Ben Vander Wal,5107369,Furman,15,East,7.3,1.0340250474179207,HEALTHY,7.1
466,Kobe Rodgers,5174946,Louisville,6,East,3.3,2.1870154085088043,HEALTHY,7.0
467,Jerrell Colbert,4433273,McNeese,12,South,5.8,1.1878602559564904,HEALTHY,6.9
468,Cody Pennebaker,5108080,Kennesaw St.,14,West,7.1,1.0486320822090252,HEALTHY,6.9
469,Ethan Burg,5311527,Tennessee,6,Midwest,2.6,2.5670186615697825,HEALTHY,6.9
470,Malachi Palmer,5239554,Villanova,8,West,4.4,1.5362013103644672,HEALTHY,6.8
471,Aly Khalifa,4702739,Louisville,6,East,3.2,2.1870154085088043,HEALTHY,6.8
472,Justin Kirby,5313370,Miami OH,11,Midwest,6.4,1.1490672616807558,HEALTHY,6.8
473,Justin Bailey,5107490,Georgia,8,Midwest,4.2,1.675608797331239,HEALTHY,6.8
474,Aaron Hunkin-Claytor,5241898,Hawaii,13,West,6.0,1.1122712394569803,HEALTHY,6.8
475,Silas Sunday,4684984,Hofstra,13,Midwest,5.2,1.187657446775464,HEALTHY,6.7
476,Jaylen Benard,5175669,LIU,16,West,7.3,1.0087505174256424,HEALTHY,6.7
477,Antonio Chandler,5314192,Siena,16,East,7.3,1.0104217789334686,HEALTHY,6.6
478,Jacolb Fredson-Cole,5238222,McNeese,12,South,5.5,1.1878602559564904,HEALTHY,6.5
479,Nic Codie,5149083,Texas,11,West,4.0,1.6048562965221431,HEALTHY,6.5
480,Jonathan Griman,5178211,Cal Baptist,13,East,6.1,1.1208119328195636,HEALTHY,6.5
481,Mikel Brown Jr.,5101761,Louisville,6,East,19.4,2.1870154085088043,OUT,6.4
482,Carmelo Pacheco,5242634,UCF,10,East,4.7,1.3981367768674555,HEALTHY,6.4
483,Vincent Brady II,5106755,High Point,12,West,5.4,1.1776837815335008,HEALTHY,6.4
484,Trey Perry,5313368,Miami OH,11,Midwest,6.0,1.1490672616807558,HEALTHY,6.3
485,Jace Posey,5101654,TCU,9,East,4.6,1.4134181836532724,HEALTHY,6.3
486,Andrea Holden,5241700,Wright St.,14,Midwest,6.3,1.0608709591867682,HEALTHY,6.3
487,Devon Malcolm,5241323,Cal Baptist,13,East,5.9,1.1208119328195636,HEALTHY,6.3
488,Jack Payne,5107563,Idaho,15,South,6.7,1.0268929008951702,HEALTHY,6.1
489,Victory Onuetu,5312163,Hofstra,13,Midwest,4.7,1.187657446775464,HEALTHY,6.1
490,Isaiah Jones,4067423,South Florida,11,East,4.5,1.381051849636315,HEALTHY,6.0
491,Dalton Scantlebury,5314646,Penn,14,South,6.0,1.0315226931276236,HEALTHY,6.0
492,Marcel Bryant,5177019,Prairie View A&M,16,South,6.5,1.0067552530800046,HEALTHY,6.0
493,Josh Holloway,5176160,Texas A&M,10,South,4.5,1.4566855454590613,HEALTHY,6.0
494,Jalen Pitre,5105453,Tennessee St.,15,Midwest,6.5,1.0205527912566916,HEALTHY,5.9
495,Khalil London,5105760,Tennessee St.,15,Midwest,6.4,1.0205527912566916,HEALTHY,5.8
496,Cam Thrower,5107164,Penn,14,South,5.7,1.0315226931276236,HEALTHY,5.7
497,Mihailo Boškovic,5243211,BYU,6,West,3.1,1.862898980650907,HEALTHY,5.7
498,Zach Keller,4896363,Utah St.,9,West,3.5,1.6580742799109198,HEALTHY,5.6
499,King-Njhsanni Wilhite,5313554,Kennesaw St.,14,West,5.8,1.0486320822090252,HEALTHY,5.6
500,Augustus Gerhart,5182415,Penn,14,South,5.6,1.0315226931276236,HEALTHY,5.6
501,Brandon Williams,5174981,UCLA,7,East,2.7,2.0356053518028934,HEALTHY,5.6
502,Daimion Collins,4611412,South Florida,11,East,4.2,1.381051849636315,HEALTHY,5.6
503,Jack Janicki,5174807,Wisconsin,5,West,2.2,2.3923127402223368,HEALTHY,5.4
504,Tucker Anderson,5175860,Utah St.,9,West,3.4,1.6580742799109198,HEALTHY,5.4
505,Eddrin Bronson,5176133,Furman,15,East,5.6,1.0340250474179207,HEALTHY,5.4
506,Logan Woods,5106806,Wright St.,14,Midwest,5.4,1.0608709591867682,HEALTHY,5.4
507,Thomas Ndong,5175014,Cal Baptist,13,East,5.0,1.1208119328195636,HEALTHY,5.3
508,Bradey Henige,5241326,Cal Baptist,13,East,4.9,1.1208119328195636,HEALTHY,5.2
509,Trent Noah,5175592,Kentucky,7,Midwest,3.0,1.7336298535412897,HEALTHY,5.2
510,Carlous Williams,5175727,Tennessee St.,15,Midwest,5.7,1.0205527912566916,HEALTHY,5.2
511,Carl Cherenfant,4711271,McNeese,12,South,4.3,1.1878602559564904,HEALTHY,5.1
512,Keyshawn Mitchell,5174851,VCU,11,South,3.4,1.528632640283778,HEALTHY,5.1
513,Yacine Toumi,4702598,Hawaii,13,West,4.4,1.1122712394569803,HEALTHY,5.0
514,Errol White,5176637,Kennesaw St.,14,West,5.0,1.0486320822090252,HEALTHY,4.9
515,Adriel Nyorha,5313563,South Florida,11,East,3.7,1.381051849636315,HEALTHY,4.9
516,Cole Bowser,5314509,Furman,15,East,5.1,1.0340250474179207,HEALTHY,4.9
517,Jordan Muller,5314832,Cal Baptist,13,East,4.5,1.1208119328195636,HEALTHY,4.8
518,Seth Joba,5174853,Idaho,15,South,5.3,1.0268929008951702,HEALTHY,4.8
519,Justin Abson,5238204,Georgia,8,Midwest,2.9,1.675608797331239,HEALTHY,4.7
520,Ivan Njegovan,5239599,Ohio St.,8,East,2.7,1.7889237383557972,HEALTHY,4.6
521,Rory Hawke,5123978,Saint Mary's,7,South,2.5,1.857199447542232,HEALTHY,4.6
522,Eric Freeny,5149633,UCLA,7,East,2.2,2.0356053518028934,HEALTHY,4.6
523,Luke Northweather,5106269,Missouri,10,West,3.1,1.426436796426509,HEALTHY,4.5
524,Keeshawn Mason,5247621,Prairie View A&M,16,South,4.9,1.0067552530800046,HEALTHY,4.5
525,Tafara Gapare,5106034,Villanova,8,West,2.9,1.5362013103644672,HEALTHY,4.5
526,Kyle Pock,5176385,Northern Iowa,12,East,3.8,1.2007746892837103,HEALTHY,4.5
527,Abijah Franklin,5314508,Furman,15,East,4.6,1.0340250474179207,HEALTHY,4.4
528,Devin Haid,5241694,South Florida,11,East,3.3,1.381051849636315,HEALTHY,4.4
529,Peitok Machar,5313569,McNeese,12,South,3.6,1.1878602559564904,HEALTHY,4.3
530,Khadim Mboup,5262601,BYU,6,West,2.3,1.862898980650907,HEALTHY,4.2
531,Eian Lowe,5313555,Kennesaw St.,14,West,4.3,1.0486320822090252,HEALTHY,4.2
532,A.J. Wills,5176061,Hofstra,13,Midwest,3.2,1.187657446775464,HEALTHY,4.1
533,Jayden Gambrell,5242574,Kennesaw St.,14,West,4.0,1.0486320822090252,HEALTHY,3.9
534,Annor Boateng,5238218,Missouri,10,West,2.7,1.426436796426509,HEALTHY,3.9
535,Kerrington Kiel,5176731,Troy,13,South,3.9,1.061365531097464,HEALTHY,3.9
536,Puff Johnson,4701846,Ohio St.,8,East,2.3,1.7889237383557972,HEALTHY,3.9
537,Jay Jones,5314644,Penn,14,South,3.9,1.0315226931276236,HEALTHY,3.9
538,Christian Jones,5314193,Siena,16,East,4.3,1.0104217789334686,HEALTHY,3.9
539,Emil Skytta,5108046,North Dakota St.,14,East,3.7,1.0724002907644616,HEALTHY,3.8
540,Ismael Diouf,5238171,Northern Iowa,12,East,3.1,1.2007746892837103,HEALTHY,3.7
541,Austin Cross,5240749,Troy,13,South,3.7,1.061365531097464,HEALTHY,3.7
542,Mike James,4684164,Vanderbilt,5,South,1.5,2.6018970544759368,HEALTHY,3.7
543,Danas Kazakevicius,5316219,Howard,16,Midwest,3.9,1.0107672076181229,HEALTHY,3.6
544,Elijah Jones,5176811,LIU,16,West,3.9,1.0087505174256424,HEALTHY,3.6
545,Xavier Brown,5107222,South Florida,11,East,2.7,1.381051849636315,HEALTHY,3.6
546,Miles Klapper,5176305,Idaho,15,South,3.8,1.0268929008951702,HEALTHY,3.5
547,Riley Mulvey,4685004,Siena,16,East,3.8,1.0104217789334686,HEALTHY,3.4
548,Isaiah Henderson,5314191,Siena,16,East,3.8,1.0104217789334686,HEALTHY,3.4
549,Trevon Blassingame,5106590,Idaho,15,South,3.7,1.0268929008951702,HEALTHY,3.4
550,Zach Halligan,5176138,Akron,12,Midwest,2.7,1.2931262162238186,HEALTHY,3.4
551,Bryan Etumnu,5106602,Wright St.,14,Midwest,3.4,1.0608709591867682,HEALTHY,3.4
552,RJ Taylor,5176384,Northern Iowa,12,East,2.7,1.2007746892837103,HEALTHY,3.2
553,Carson Smith,5241641,North Dakota St.,14,East,3.1,1.0724002907644616,HEALTHY,3.2
554,Gus Larson,4898223,Queens,15,West,3.1,1.0248230731436103,HEALTHY,3.1
555,Jayden Barrs,5176636,Kennesaw St.,14,West,3.1,1.0486320822090252,HEALTHY,3.0
556,Joshua Aaron Reaves,4703169,Hofstra,13,Midwest,2.3,1.187657446775464,HEALTHY,3.0
557,Yanis Ndjonga,5175027,McNeese,12,South,2.5,1.1878602559564904,HEALTHY,3.0
558,Lucas Lueth,5314648,Penn,14,South,3.0,1.0315226931276236,HEALTHY,3.0
559,Sam Alamutu,4898006,Wright St.,14,Midwest,2.9,1.0608709591867682,HEALTHY,2.9
560,Collin O'Neal,5314510,Furman,15,East,2.9,1.0340250474179207,HEALTHY,2.8
561,Rene D'Amelio,5314831,Cal Baptist,13,East,2.6,1.1208119328195636,HEALTHY,2.8
562,Gabe Cupps,4845387,Ohio St.,8,East,1.6,1.7889237383557972,HEALTHY,2.7
563,Isaiah Brown,5243100,Howard,16,Midwest,2.8,1.0107672076181229,HEALTHY,2.6
564,Miles Daniels,5314830,Cal Baptist,13,East,2.4,1.1208119328195636,HEALTHY,2.6
565,Jabrion Spikes,5314353,Tennessee St.,15,Midwest,2.9,1.0205527912566916,HEALTHY,2.6
566,Kevin Gad,5105421,Saint Mary's,7,South,1.4,1.857199447542232,HEALTHY,2.6
567,Owen Schlager,5314194,Siena,16,East,2.8,1.0104217789334686,HEALTHY,2.5
568,Kavien Jones,5242991,Tennessee St.,15,Midwest,2.8,1.0205527912566916,HEALTHY,2.5
569,Abdullah Ahmed,5183975,BYU,6,West,1.3,1.862898980650907,HEALTHY,2.4
570,Elijah Mitchell,5314805,Prairie View A&M,16,South,2.5,1.0067552530800046,HEALTHY,2.3
571,Jannoy Thomas,5314804,Prairie View A&M,16,South,2.3,1.0067552530800046,HEALTHY,2.1
572,Elijah Kelly,5313508,LIU,16,West,2.3,1.0087505174256424,HEALTHY,2.1
573,John Bol,4915060,UCF,10,East,6.0,1.3981367768674555,DAY-TO-DAY,1.9
574,KJ McClurg,4701156,LIU,16,West,2.0,1.0087505174256424,HEALTHY,1.8
575,Lassina Traore,4897052,Texas,11,West,3.4,1.6048562965221431,DAY-TO-DAY,1.7
576,Janko Bulajic,5123799,Kennesaw St.,14,West,1.5,1.0486320822090252,HEALTHY,1.5
577,Christian Fermin,5106041,VCU,11,South,0.8,1.528632640283778,HEALTHY,1.2
578,Corey Dunning,4904924,Prairie View A&M,16,South,1.2,1.0067552530800046,HEALTHY,1.1
579,Dawson Baker,4702626,BYU,6,West,7.5,1.862898980650907,OUT,0.0
580,Karter Knox,4869777,Arkansas,4,West,8.1,2.6680424898108748,OUT,0.0
581,Richie Saunders,5105462,BYU,6,West,16.8,1.862898980650907,OUT,0.0
582,Aden Holloway,4684276,Alabama,4,Midwest,16.6,2.544908801467093,OUT,0.0
583,Caleb Foster,4711256,Duke,1,East,8.5,4.493977963625555,OUT,0.0
584,JT Toppin,5143604,Texas Tech,5,Midwest,21.0,2.304264390636621,OUT,0.0
585,Caleb Wilson,5095151,North Carolina,6,South,19.8,1.721717945536111,OUT,0.0
586,Carter Welling,5176397,Clemson,8,South,10.2,1.4821492990678407,OUT,0.0
587,L.J. Cason,5214641,Michigan,1,Midwest,8.4,4.41674628989956,OUT,0.0
588,Jayden Quaintance,5101845,Kentucky,7,Midwest,5.0,1.7336298535412897,OUT,0.0
589,Matt Hodge,5175588,Villanova,8,West,9.2,1.5362013103644672,OUT,0.0
